Id,Job Title,Company,Location,Date Posted,Position,Employment Type,Minimum Education,Category,Industry
222923,SPV Accounting & Finance  ,Sharon Bakery (PT Multi Star Rukun Abadi),"Bandung Kabupaten, Indonesia",2023-04-06 02:37:09.484656+00:00,Supervisor / Asisten Manager,Penuh waktu,Lulus program Sarjana (S1),Accounting and Finance,Food Production
217572,Quality Assurance Tester  ,PT Adi Data Informatika,"Jakarta Barat, Indonesia",2023-01-10 09:57:55.188623+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Information Technology / IT
222561,Product Manager (EdTech)  ,PT Synergy Academy Indonesia,"Jakarta, Indonesia",2023-03-30 04:50:25.065582+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),Management and Consultancy,E-Learning
222987,Business Intelligence Senior Analyst  ,Kraft Heinz ABC Indonesia,"Jakarta Selatan, Indonesia",2023-04-10 08:18:25.684139+00:00,Supervisor / Asisten Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Food Production
109104,Fullstack Engineer  ,FinAccel,"Central Jakarta, Indonesia",2023-01-03 04:14:42.722384+00:00,Supervisor / Asisten Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Financial Services
220941,Network Engineer (Bahasa Mandarin)  ,PT Bank Central Asia Tbk,"Central Jakarta, Indonesia",2023-03-03 02:39:52.195607+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Financial Services
207214,Tech Lead (Jakarta and Malang)  ,paper.id,"North Jakarta, Indonesia",2023-03-28 02:31:42.844828+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Information Technology / IT
217707,IT Developer  ,PT Adi Data Informatika,"Jakarta Barat, Indonesia",2023-01-12 08:47:54.653231+00:00,Supervisor / Asisten Manager,Kontrak,Lulus program Sarjana (S1),IT and Software,Information Technology / IT
216711,"Bancassurance Officer (Area: Sulawesi, Bali & Papua)  ",PT Panin Dai-Ichi Life (Bancassurance),"Makassar, Indonesia",2023-04-17 08:48:06.125437+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus program Diploma (D3),Sales and Marketing,
193295,Big Data Administrator  ,PT. Jasa Teknologi Informasi IBM,"Central Jakarta, Indonesia",2023-04-10 07:04:09.794338+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Information Technology / IT
222416,System Analyst  ,PT Midas Daya Teknologi,"Jakarta, Indonesia",2023-03-28 07:09:11.242718+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Information Technology / IT
222867,Customer Relations Coordinator  ,Plaza Auto Group ,"Surabaya, Indonesia",2023-04-05 02:51:47.914449+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus program Sarjana (S1),Customer Service,Automotive
204865,Product Manager (Jakarta and Malang)  ,paper.id,"North Jakarta, Indonesia",2023-04-18 03:06:59.975268+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Information Technology / IT
190148,Business Intelligence Analyst  ,Kitabisa,"South Jakarta, Indonesia",2023-02-17 03:24:15.682356+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,IT and Software
220319,Account Manager / Sales Executive (ICT Industry)  ,PT Intikom Berlian Mustika,"Jakarta Selatan, Indonesia",2023-02-20 07:09:58.007298+00:00,Supervisor / Asisten Manager,Penuh waktu,Lulus program Diploma (D3),Sales and Marketing,Information Technology / IT
221328,Data Analyst  ,ADR Group,"Tangerang, Indonesia",2023-03-08 06:48:11.464853+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus SMA,Administration and Coordination,Automotive
223446,Commercial & Corporate Operation  ,PT BFI Finance Indonesia Tbk,"Tangerang, Indonesia",2023-04-18 02:25:01.277386+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus program Sarjana (S1),Administration and Coordination,Financial Services
121157,DevOps Engineer (Jakarta and Malang)  ,paper.id,"North Jakarta, Indonesia",2023-03-15 06:27:18.943349+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Information Technology / IT
176348,Data Scientist  ,Investree,"Jakarta, Indonesia",2023-04-05 05:19:58.836764+00:00,Supervisor / Asisten Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Lending Marketplace
218513,Full Stack Engineer  ,PT Transnovasi Bangun Persada,"Jakarta, Indonesia",2023-04-06 06:18:43.349523+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Information Technology / IT
220811,Data Engineer | PinjamModal  ,PT BFI Finance Indonesia Tbk,"Tangerang, Indonesia",2023-03-01 05:19:34.189517+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Financial Services
222979,Admin Finance  ,Kelas Pintar,"Kota Jakarta Selatan, Indonesia",2023-04-10 07:06:42.031453+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus program Sarjana (S1),Accounting and Finance,Software Education
220458,Head of Sales  ,Tinkerlust,"South Jakarta, Indonesia",2023-02-22 02:41:42.910694+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),Sales and Marketing,Fashion E-Commerce
221026,Partnership & Program Development Specialist  ,PT BFI Finance Indonesia Tbk,"Tangerang, Indonesia",2023-03-03 08:05:08.331127+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus program Sarjana (S1),Sales and Marketing,Financial Services
207877,Account Manager (Mandarin Speaker)  ,Moneta Pay,"Jakarta Barat, Indonesia",2022-12-23 04:23:22.736819+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),Sales and Marketing,Financial Services
223140,Data Analyst  ,OONA Insurance Indonesia,"Jakarta Selatan, Indonesia",2023-04-12 09:46:01.653019+00:00,Supervisor / Asisten Manager,Penuh waktu,Lulus program Sarjana (S1),Administration and Coordination,Insurance
131203,IT Security Architect  ,Asuransi Astra,"South Jakarta, Indonesia",2023-02-13 03:15:36.109405+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Insurance
222933,Junior Backend Developer  ,AITINDO,"Tangerang Kabupaten, Indonesia",2023-04-06 05:02:48.222848+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Marketing / Advertising / Sales
222962,Research and Development Intern  ,Hangry,"Jakarta Barat, Indonesia",2023-04-11 02:40:41.483548+00:00,Magang / OJT,Penuh waktu,Lulus program Sarjana (S1),Sciences,Food / Beverages
209362,Business Strategy Officer  ,Kompas Gramedia,"Jakarta Barat, Indonesia",2023-04-12 02:44:07.519769+00:00,Supervisor / Asisten Manager,Penuh waktu,Lulus program Sarjana (S1),Management and Consultancy,Media Production
216989,Network Engineer  ,PT Astra Graphia Information Technology,"Kota Jakarta Pusat, Indonesia",2023-03-08 01:54:42.531729+00:00,Supervisor / Asisten Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,IT and Software
214824,SALES ADMINISTRATION OFFICER  ,Marga Nusantara Jaya,"Jakarta Timur, Indonesia",2022-11-18 03:36:16.087867+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus program Sarjana (S1),Administration and Coordination,Pharmaceuticals
168865,Relationship Manager  ,Investree,"Jakarta Selatan, Indonesia",2023-03-20 07:00:10.940946+00:00,Supervisor / Asisten Manager,Penuh waktu,Lulus program Sarjana (S1),Sales and Marketing,Lending Marketplace
222704,Accounting (Project Based) PT Fasen Creative Quality  ,Kompas Gramedia,"West Jakarta, Indonesia",2023-04-03 06:14:07.369337+00:00,Lulusan Baru / Junior,Kontrak,Lulus program Sarjana (S1),Accounting and Finance,Media Production
196087,Senior IT Enterprise Architecture  ,PT Bank Central Asia Tbk,"Central Jakarta, Indonesia",2022-09-07 08:35:19.690605+00:00,Supervisor / Asisten Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Financial Services
194085,Product Analyst - Risk  ,FinAccel,"South Jakarta, Indonesia",2023-02-23 06:53:17.809648+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Financial Services
221356,Distribution Development Manager Sumatera I  ,Kraft Heinz ABC Indonesia,"Medan, Indonesia",2023-04-11 06:54:53.029603+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),Sales and Marketing,Food Production
221743,Data Engineer (Banking Project)  ,PT. Jasa Teknologi Informasi IBM,"Central Jakarta, Indonesia",2023-03-15 09:01:41.351822+00:00,Mid-Senior Level Manager,Kontrak,Lulus program Sarjana (S1),IT and Software,Information Technology / IT
212847,Senior Quality Assurance Engineer  ,JULO,"South Jakarta, Indonesia",2023-04-05 10:11:37.618520+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Financial Services
223306,Digital Marketing Manager  ,PT Ocean Centra Furnindo,"North Jakarta, Indonesia",2023-04-17 03:35:57.021774+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),Sales and Marketing,Furniture
222550,System Analyst  ,PT Bumi Amartha Teknologi Mandiri,"Jakarta Selatan, Indonesia",2023-03-30 03:56:37.594733+00:00,Supervisor / Asisten Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Information Technology / IT
218562,Data Mining Analyst  ,FIFGROUP,"South Jakarta, Indonesia",2023-01-26 03:07:01.266870+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),Sales and Marketing,Financial Services
221242,Senior Presales Engineer  ,PT Mastersystem Infotama,"Kota Jakarta Pusat, Indonesia",2023-03-07 04:04:34.109027+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,IT and Software
223416,IT Auditor Specialist  ,PT BFI Finance Indonesia Tbk,"Tangerang, Indonesia",2023-04-17 10:07:18.977785+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Financial Services
187230,Internship PT BFI Finance Indonesia Tbk  ,PT BFI Finance Indonesia Tbk,"Tangerang, Indonesia",2023-03-31 02:52:24.539308+00:00,Magang / OJT,Paruh waktu,Lulus program Sarjana (S1),Administration and Coordination,Financial Services
